Book Name,Author Name,Narrator Name,Book Size,Book Ratings
The Hidden Hindu, Akshat Gupta, Vivek Bhatia, 5 hrs and 36 mins,3.5 out of 5 stars
Change Your Brain Every Day, Daniel Amen, Jim Frangione, 15 hrs and 8 mins,Not rated yet
Outlive," Peter Attia, Bill Gifford", Peter Attia, 17 hrs and 8 mins,5 out of 5 stars
Energize Your Mind, Gaur Gopal Das, Gaur Gopal Das, 10 hrs and 20 mins,5 out of 5 stars
8 Rules of Love, Jay Shetty, Jay Shetty, 10 hrs and 10 mins,5 out of 5 stars
Doglapan, Ashneer Grover, Adwait Karambelkar, 6 hrs and 30 mins,5 out of 5 stars
Spare, Prince Harry The Duke of Sussex, Prince Harry The Duke of Sussex, 15 hrs and 37 mins,4 out of 5 stars
The Secret of the Nagas, Amish Tripathi, Manish Dongardive, 10 hrs and 9 mins,5 out of 5 stars
Haunting Adeline, H. D. Carlton," Teddy Hamilton, Michelle Sparks", 15 hrs and 44 mins,4.5 out of 5 stars
War of Lanka, Amish Tripathi, Darrpan Mehta, 16 hrs and 20 mins,4.5 out of 5 stars
The Creative Act, Rick Rubin, Rick Rubin, 5 hrs and 44 mins,5 out of 5 stars
Sita: Warrior of Mithila, Amish, Sagar Arya, 11 hrs and 10 mins,4.5 out of 5 stars
The Immortals of Meluha, Amish Tripathi, Manish Dongardive, 11 hrs and 39 mins,5 out of 5 stars
The Steal Like an Artist Audio Trilogy, Austin Kleon, Austin Kleon, 4 hrs and 32 mins,4.5 out of 5 stars
The Light We Carry, Michelle Obama, Michelle Obama, 9 hrs and 59 mins,5 out of 5 stars
The 16 Undeniable Laws of Communication, John Maxwell, John Maxwell, 8 hrs and 57 mins,Not rated yet
"Tomorrow, and Tomorrow, and Tomorrow", Gabrielle Zevin," Jennifer Kim, Julian Cihi", 13 hrs and 52 mins,4.5 out of 5 stars
"Harry Potter and the Philosopher's Stone, Book 1", J.K. Rowling, Stephen Fry, 8 hrs and 25 mins,5 out of 5 stars
Never Finished, David Goggins," David Goggins, Adam Skolnick, Jacqueline Gardner", 11 hrs and 6 mins,5 out of 5 stars
The Mountain Is You, Brianna Wiest, Stacey Glemboski, 5 hrs and 44 mins,4.5 out of 5 stars
The Fine Print, Lauren Asher," Desiree Ketchum, Aiden Snow", 11 hrs and 8 mins,4.5 out of 5 stars
The Pathless Path, Paul Millerd, Paul Millerd, 6 hrs and 6 mins,Not rated yet
Hello Beautiful, Ann Napolitano, Maura Tierney, 15 hrs and 6 mins,5 out of 5 stars
Atlas of the Heart, Brené Brown, Brené Brown, 8 hrs and 29 mins,5 out of 5 stars
The Oath of the Vayuputras (English), Amish Tripathi, Manish Dongardive, 17 hrs and 12 mins,5 out of 5 stars
Lessons in Chemistry, Bonnie Garmus, Miranda Raison, 11 hrs and 56 mins,4.5 out of 5 stars
The 5 Second Rule, Mel Robbins, Mel Robbins, 7 hrs and 35 mins,4.5 out of 5 stars
Mother of Learning Arc 4," nobody103, Domagoj Kurmaic", Jack Voraces, 22 hrs and 12 mins,5 out of 5 stars
Don't Believe Everything You Think, Joseph Nguyen, Joseph Nguyen, 2 hrs and 16 mins,4.5 out of 5 stars
Dopamine Detox, Thibaut Meurisse, Joshua Alexander, 1 hr and 5 mins,4.5 out of 5 stars
Make Your Bed, Admiral William H. McRaven, Admiral William H. McRaven, 1 hr and 43 mins,4.5 out of 5 stars
The Lean Startup, Eric Ries, Eric Ries, 8 hrs and 38 mins,4.5 out of 5 stars
Challenging Destiny, Medha Deshmukh Bhaskaran, Avinash Kumar Singh, 11 hrs and 18 mins,4.5 out of 5 stars
Meditations," Marcus Aurelius, Diskin Clay, Martin Hammond", Richard Armitage, 6 hrs and 18 mins,4.5 out of 5 stars
Before the Coffee Gets Cold, Toshikazu Kawaguchi, Arina Ii, 6 hrs and 52 mins,4.5 out of 5 stars
Sherlock Holmes: The Definitive Collection," Stephen Fry - introductions, Arthur Conan Doyle", Stephen Fry, 71 hrs and 57 mins,5 out of 5 stars
The Staff Engineer's Path, Tanya Reilly, Wendy Tremont King, 14 hrs and 15 mins,Not rated yet
Shakti," DK, Nilima Chitgopekar, Shashi Tharoor - foreword, Phonic Books", Rita Sharma, 9 hrs and 37 mins,4.5 out of 5 stars
The Sex Book, Leeza Mangaldas, Leeza Mangaldas, 6 hrs and 33 mins,5 out of 5 stars
Unreasonable Hospitality, Will Guidara, Will Guidara, 8 hrs and 37 mins,5 out of 5 stars
Scion of Ikshvaku, Amish, Sagar Arya, 11 hrs and 35 mins,4.5 out of 5 stars
Meluha Ke Mritunjay [The Immortals of Meluha], Amish Tripathi, Swetanshu Bora, 14 hrs and 45 mins,4.5 out of 5 stars
Nonviolent Communication, Marshall Rosenberg PhD, Marshall Rosenberg PhD, 5 hrs and 9 mins,5 out of 5 stars
The Song of Achilles, Madeline Miller, Frazer Douglas, 11 hrs and 14 mins,4.5 out of 5 stars
Let's Talk Money, Monika Halan, Veena Fansalkar, 5 hrs and 56 mins,4.5 out of 5 stars
You Are the Placebo, Dr. Joe Dispenza, Adam Boyce, 12 hrs and 6 mins,5 out of 5 stars
How to Make Money in Stocks (Fourth Edition), William J. O'Neil, Christopher Grove, 11 hrs and 50 mins,Not rated yet
80/20 Sales and Marketing, Perry Marshall, Ron Allan, 5 hrs and 43 mins,5 out of 5 stars
Revolutionaries, Sanjeev Sanyal, Adwait Karambelkar, 11 hrs and 22 mins,5 out of 5 stars
Mastering Uncertainty," Matt Watkinson, Csaba Konkoly", Matt Watkinson, 7 hrs and 8 mins,Not rated yet
"Ponniyin Selvan - Part 1 [The Son of Ponni, Part 1]", Kalki, Bombay Kannan, 14 hrs,5 out of 5 stars
The Courage to Be Happy," Fumitake Koga, Ichiro Kishimi"," January LaVoy, Noah Galvin", 6 hrs and 10 mins,4.5 out of 5 stars
A Hacker's Mind, Bruce Schneier, Dan John Miller, 8 hrs and 3 mins,Not rated yet
